"ccode","country","year","onset","warl","gdpenl","lpopl1","lmtnest","ncontig","Oil","nwstate","instab","polity2l","ethfrac","relfrac"
680,"YEMEN PEOP. REP.",1977,0,0,2.04099988937378,7.46679925918579,3.33932209014893,0,0,0,0,-7,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1978,0,0,2.08500003814697,7.49387407302856,3.33932209014893,0,0,0,0,-7,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1979,0,0,2.12800002098083,7.52456140518188,3.33932209014893,0,0,0,0,-8,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1980,0,0,2.16899991035461,7.5548586845398,3.33932209014893,0,0,0,0,-8,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1981,0,0,2.16100001335144,7.58528089523315,3.33932209014893,0,0,0,0,-8,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1982,0,0,2.40899991989136,7.57712173461914,3.33932209014893,0,0,0,0,-8,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1983,0,0,2.92799997329712,7.60290050506592,3.33932209014893,0,0,0,0,-8,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1984,0,0,2.60199999809265,7.62851762771606,3.33932209014893,0,0,0,0,-8,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1985,0,0,2.73200011253357,7.65396928787231,3.33932209014893,0,0,0,0,-8,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1986,1,0,2.76999998092651,7.6797137260437,3.33932209014893,0,1,0,0,-8,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1987,0,1,3.8199999332428,7.70526266098022,3.33932209014893,0,1,0,0,-7,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1988,0,1,3.94400000572205,7.73105335235596,3.33932209014893,0,1,0,0,-7,0.172264218330383,0.0950000286102295
680,"YEMEN PEOP. REP.",1989,0,0,3.95000004768372,7.75662326812744,3.33932209014893,0,1,0,0,-7,0.172264218330383,0.0950000286102295
